# BEAST v1.8.3
# Generated Mon Sep 26 20:52:50 EDT 2016 [seed=1474937568848]
# -beagle_off -overwrite chr7_3776.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
0	-76412.37900901951	-16.301996561176054	-76396.07701245834	1.348781002132382	1.0	2.0	1.0	1.0	-76396.07701245834	-6.521549886558855
1000	-35309.43978582155	4.742659515999921	-35314.18244533755	0.005798120009483164	0.16465099533790994	2.0	0.7657864228312687	1.0	-35314.18244533755	12.485933966664756
2000	-35300.0818609604	17.739235708410654	-35317.82109666881	0.0069341333745127414	0.0298669789640091	2.0	0.7657864228312687	1.0	-35317.82109666881	23.777007883289627
3000	-35287.62493444892	27.895469448930996	-35315.52040389785	0.006447147132691611	0.004911568860664678	2.0	0.7657864228312687	1.0	-35315.52040389785	32.12986175515745
4000	-35268.18807873363	28.710586093884537	-35296.89866482751	0.005445133563242808	0.004280036261030709	2.8895805630684435	0.446591811544478	1.0	-35296.89866482751	32.82731733628143
5000	-35267.2251462979	27.880184863643866	-35295.10533116154	0.0059247700925387755	0.005969877338033981	2.8895805630684435	0.5197800788820147	1.0	-35295.10533116154	32.40253819735954
6000	-35267.785662237504	27.908683717978704	-35295.69434595548	0.006096699991500747	0.0046538246633430706	2.8895805630684435	0.5197800788820147	1.0	-35295.69434595548	32.18224778160282
7000	-35266.78802858102	29.181931632090937	-35295.96996021311	0.006126879874491541	0.003482666165221031	2.8895805630684435	0.6571224464440656	1.0	-35295.96996021311	33.30323553348066
8000	-35267.93641956026	29.212901582957173	-35297.14932114322	0.005720249022132044	0.0037010929873904693	2.8895805630684435	0.6442136139278133	1.0	-35297.14932114322	33.38206607836163
9000	-35271.47241643643	28.395407418621303	-35299.86782385505	0.007341592171974228	0.0033804827467632686	2.8895805630684435	0.6026915908137678	1.0	-35299.86782385505	32.432530525713354
10000	-35264.69492416013	26.506971581423628	-35291.20189574156	0.006346120543464292	0.007261358212848391	3.322379795205445	0.5037379862335407	1.0	-35291.20189574156	31.360191047545634
11000	-35261.104152461165	29.346001818290894	-35290.45015427945	0.006116737060700993	0.0027910936665960897	3.340789601329752	0.5037379862335407	1.0	-35290.45015427945	33.25028491363602
12000	-35262.3028841536	28.021775665503206	-35290.3246598191	0.00634075137310193	0.0022989030263655726	3.340789601329752	0.5037379862335407	1.0	-35290.3246598191	31.732250819991037
13000	-35264.11136635537	27.752458630387768	-35291.863824985754	0.00680981989414814	0.002381281072178962	3.589523966008349	0.4374995617809056	1.0	-35291.863824985754	31.514806704737868
14000	-35258.43061375548	28.45988454034554	-35286.89049829583	0.006356701478362286	0.0037152240463161823	3.586161536819993	0.4374995617809056	1.0	-35286.89049829583	32.665485879141286
15000	-35259.417427280336	29.30268456246578	-35288.7201118428	0.005905848397739668	0.0019924155229094458	3.586161536819993	0.41637180110388194	1.0	-35288.7201118428	32.86468825735956
16000	-35257.44735492667	29.38842458185777	-35286.835779508525	0.006271036020981931	0.0028123287070411693	3.856676172896577	0.41637180110388194	1.0	-35286.835779508525	33.382061455597025
17000	-35260.547787659074	28.84350769810554	-35289.39129535718	0.006500774569828891	0.0021105211955669903	3.856676172896577	0.41637180110388194	1.0	-35289.39129535718	32.550353015559594
18000	-35264.156039254005	28.092600163608974	-35292.248639417616	0.006895995659747707	0.0036924635924327825	3.856676172896577	0.41637180110388194	1.0	-35292.248639417616	32.35824665046199
19000	-35259.5535307736	29.07862226096606	-35288.63215303457	0.006190066200954705	0.0037936837820793717	3.856676172896577	0.41637180110388194	1.0	-35288.63215303457	33.37128545108477
20000	-35259.562912956084	29.381493936473724	-35288.94440689256	0.006012562942199015	0.0032567996282218403	3.856676172896577	0.41637180110388194	1.0	-35288.94440689256	33.52171666508089
21000	-35255.0675512604	29.185708507043046	-35284.25325976744	0.005789853865458187	0.002364529091219083	3.523511270427683	0.3153962039097387	1.0	-35284.25325976744	32.797146504101434
22000	-35257.966484552926	28.26941310756286	-35286.23589766049	0.005933417135173374	0.004977481475302922	3.523511270427683	0.3153962039097387	1.0	-35286.23589766049	32.624454521332886
23000	-35257.17253350174	28.6910357297224	-35285.863569231464	0.006259776328579988	0.0022643147557996164	3.523511270427683	0.3153962039097387	1.0	-35285.863569231464	32.25921022401251
24000	-35256.01332847995	27.451040078978977	-35283.46436855893	0.006524232262679588	0.005481098523242063	3.382564198083871	0.3153962039097387	1.0	-35283.46436855893	31.855297534333083
25000	-35253.71596033016	29.20528252517535	-35282.92124285534	0.00653611516788748	0.0035545443979709272	3.382564198083871	0.3153962039097387	1.0	-35282.92124285534	33.17689248825053
26000	-35256.3656335839	27.206304289897563	-35283.57193787379	0.006653229841421418	0.006266500448451782	3.382564198083871	0.3153962039097387	1.0	-35283.57193787379	31.744341133455027
27000	-35252.817109154385	29.325612407085583	-35282.14272156147	0.006209136081009237	0.002123243324001472	3.382564198083871	0.19291858250210558	1.0	-35282.14272156147	32.65997649204999
28000	-35249.87960443295	29.059309010840995	-35278.93891344379	0.006428463839365318	0.0023156176810464287	3.382564198083871	0.19291858250210558	1.0	-35278.93891344379	32.4803182358787
29000	-35250.88851621933	28.42275504774607	-35279.31127126708	0.007124910631848245	0.0038456982493886628	3.382564198083871	0.1965283763298557	1.0	-35279.31127126708	32.35414703495079
30000	-35250.82629716227	29.005315158162094	-35279.83161232043	0.006232770095040506	0.004074482403471993	3.6109467130392923	0.1965283763298557	1.0	-35279.83161232043	33.07028223795198
31000	-35246.18520969254	27.21615742134679	-35273.40136711389	0.006498894008256364	0.0017440564814078662	3.646428617037832	0.11045809974351609	1.0	-35273.40136711389	30.35895635826004
32000	-35241.05588758168	29.69025225890643	-35270.74613984059	0.006126279632773573	0.0033513942942185026	3.646428617037832	0.026518824555387944	1.0	-35270.74613984059	33.401623120599425
33000	-35238.66527763346	29.528701821195238	-35268.193979454656	0.0059491960196989295	0.0032607483289302294	3.646428617037832	0.04647651841274928	1.0	-35268.193979454656	33.23263795716008
34000	-35243.82039345637	28.20973529488538	-35272.030128751256	0.0068487646905149675	0.0019768540372011147	3.646428617037832	0.029188226283353033	1.0	-35272.030128751256	31.396432298058635
35000	-35248.16621834952	27.97594414931602	-35276.142162498836	0.006611405983700852	0.004208604842895039	3.646428617037832	0.029188226283353033	1.0	-35276.142162498836	31.91751225027204
36000	-35241.071163875764	29.230762268388773	-35270.30192614415	0.005850927414286972	0.0033648432142630064	3.646428617037832	0.029188226283353033	1.0	-35270.30192614415	32.948803442804454
37000	-35238.67407617233	28.75183324858471	-35267.42590942091	0.006392474227666896	0.004284081585880315	3.646428617037832	0.010589373884027817	1.0	-35267.42590942091	32.69255979281451
38000	-35241.884896696574	29.177167942233982	-35271.062064638805	0.006500117558396833	0.0035603113950037723	3.646428617037832	0.006444626483554756	1.0	-35271.062064638805	32.9288758882963
39000	-35242.49122826227	27.674622800739126	-35270.16585106301	0.006490500792696712	0.005317737938076454	3.646428617037832	0.004104064248647586	1.0	-35270.16585106301	31.824790743766883
40000	-35245.62216525231	28.474915848227685	-35274.09708110054	0.007046930892257454	0.0026464955445775476	3.646428617037832	0.004104064248647586	1.0	-35274.09708110054	31.927967247176177
41000	-35238.83579163023	29.015069870053544	-35267.85086150028	0.006336986578236978	0.004010876685983721	3.646428617037832	0.004104064248647586	1.0	-35267.85086150028	32.88348037342726
42000	-35241.17876558135	29.580987074267487	-35270.75975265562	0.006256618840040014	0.0023219131006057157	3.646428617037832	0.004104064248647586	1.0	-35270.75975265562	32.90332412290696
43000	-35240.14819172248	29.280187472733086	-35269.42837919521	0.006302308014002664	0.0034278959526994734	3.646428617037832	0.004176645668821872	1.0	-35269.42837919521	32.99176384347027
44000	-35239.79842466963	29.71246633123724	-35269.510891000864	0.006643765527929276	0.0022982901941427827	3.646428617037832	0.004176645668821872	1.0	-35269.510891000864	33.02466015810715
45000	-35243.44134178107	27.60156535516129	-35271.04290713623	0.006536818336571809	0.005362690677896573	3.755382647787458	0.004176645668821872	1.0	-35271.04290713623	31.795469730293185
46000	-35242.79629520356	29.96412600875665	-35272.76042121232	0.0061780519890684395	0.0017722436408952038	4.003249729871524	0.0019495476711280147	1.0	-35272.76042121232	33.12813153769576
47000	-35239.42694837716	29.272255227610806	-35268.69920360477	0.006308217070538104	0.003055902623209028	3.939275915215673	0.0013704084281345001	1.0	-35268.69920360477	32.95994914433304
48000	-35240.37385035597	28.165938002964026	-35268.53978835894	0.006471697462506979	0.005587519668172111	3.36473053457147	0.0013704084281345001	1.0	-35268.53978835894	32.269363567732
49000	-35241.49748852935	28.529137403917584	-35270.026625933264	0.006068595157609916	0.004426355021522568	3.36473053457147	0.0013704084281345001	1.0	-35270.026625933264	32.39983573772282
50000	-35240.71265690707	28.781154828981993	-35269.49381173605	0.006898343098216325	0.0040448522358030765	3.574243070014776	0.0013704084281345001	1.0	-35269.49381173605	32.63163258359425
