chr pos CG10245 CG4086
X 160000 2.72749596055809 2.13997850336995
X 170000 2.70992487881057 2.32506049465928
X 180000 2.64658577059151 2.37048878964322
X 190000 2.58426412418714 2.19338236774087
X 2e+05 2.57859349268779 2.23435437023238
X 210000 2.57853291528926 2.18538043394221
X 220000 2.57295601497765 2.2022065932502
X 230000 2.57584702720663 2.26273868303042
X 240000 2.56580438694482 2.22112866523577
X 250000 2.62589305345256 2.44113875641892
X 260000 2.72014911061461 3.06661374192203
X 270000 2.5735243168819 2.37520176149422
X 280000 2.63088509400319 3.51372177543317
X 290000 2.57438492934347 2.22055404147648
X 3e+05 2.64870820563368 2.26735248306892
X 310000 2.56322122179841 2.38029325546148
X 320000 2.63713829880561 2.22586974434734
X 330000 2.53978048141528 2.31181300595591
X 340000 2.69366138851672 2.63762381557575
X 350000 2.58172133221746 2.4329521033813
X 360000 2.5550741422166 2.36977828255471
X 370000 2.60640551759275 2.55628910105469
X 380000 2.57517472883853 2.73959062518963
X 390000 2.73337503828975 2.79679466213793
X 4e+05 2.53238962112351 2.25707669188148
X 410000 2.53805465509004 2.33274989132656
X 420000 2.55194297787051 2.24841530352677
X 430000 2.57505748699674 2.2528606666109
X 440000 2.5878256714679 2.25340758334261
X 450000 2.61970618308118 2.21060472322819
X 460000 2.63738194697839 2.25721795681909
X 470000 2.70667869099691 2.17008541478174
X 480000 2.59416990772718 2.29205921505758
X 490000 2.56958958485615 2.15017369896634
X 5e+05 2.71379334312411 2.63482354461701
X 510000 2.59801936004288 2.20902348093387
X 520000 2.66048268644477 2.82429407880443
X 530000 2.62212904096532 2.85538964298081
X 540000 2.62925339266411 2.51632735109513
X 550000 2.59185081290354 2.26390930222459
X 560000 2.64660041533597 2.36589182879686
X 570000 2.57939776633356 2.2447300342003
X 580000 2.5598385061013 2.31555336780997
X 590000 2.55981337671909 2.5092191214153
X 6e+05 2.54103513037694 2.41007201622915
X 610000 2.54073365070758 2.33231204492694
X 620000 2.54137370748845 2.30598317355151
X 630000 2.59829700922847 2.47975888757242
X 640000 2.60807357701697 2.38207197890938
X 650000 2.64983103434656 2.44486286940821
X 660000 2.67168221006807 2.19179110916673
X 670000 2.84707567090845 2.42457330547347
X 680000 2.72647629120246 2.30286241585014
X 690000 2.73195620268649 2.37081364316907
X 7e+05 2.7619547767502 2.24196347618215
X 710000 2.72246151340573 2.36626880966952
X 720000 2.67957927739644 2.27926479027479
X 730000 2.73041585124577 2.4362721121451
X 740000 2.76842542295287 2.22874597602851
X 750000 2.69522272120219 2.28809993098827
X 760000 2.6535508260493 2.22806024884613
X 770000 2.82493975004218 2.4427127500478
X 780000 2.68122934097539 2.22509416702678
X 790000 2.72913467308757 2.21335860411557
X 8e+05 2.71053610213301 2.36226397674375
X 810000 2.63579258202356 2.21399663173747
X 820000 2.64232134412953 2.3415714545219
X 830000 2.66517014054944 2.24903311823641
X 840000 2.69187615627862 1.98191768264769
X 850000 2.73508813482954 1.89005305112181
X 860000 2.78921235027832 1.84250666063275
X 870000 2.83270959835829 1.72219790289176
X 880000 2.85958536296215 1.68762673429256
X 890000 2.87881120249267 1.65051448566828
X 9e+05 2.85936597818062 1.7529025404034
X 910000 2.82163319779499 1.90369097815022
X 920000 2.79840283317304 2.09006268773362
X 930000 2.79746817810684 2.03164728084226
X 940000 2.73283926357038 2.38270601818925
X 950000 2.69284925913405 2.21053128296307
X 960000 2.66368485102402 2.53211951755475
X 970000 2.66113803420831 2.48474940377639
X 980000 2.63670998645608 2.39201732553738
X 990000 2.64073437155275 2.31888052717983
X 1e+06 2.65271147492791 2.25492070513104
X 1010000 2.65155073354344 2.23029196069393
X 1020000 2.66481895249848 2.29074090413434
X 1030000 2.67960313447549 2.30416551695788
X 1040000 2.69708998018478 2.1959242277955
X 1050000 2.7242386431725 2.13612006837354
X 1060000 2.75412406703634 2.21573633414926
X 1070000 2.773683005149 2.34481842937686
X 1080000 2.78541915569582 2.46498489880395
X 1090000 2.81179267347761 2.5748719566804
X 1100000 2.85807315555525 2.74769690553825
X 1110000 2.89083197807668 2.73613420483633
X 1120000 2.94579811045026 2.54657507096948
X 1130000 2.99736167605602 2.38101071124913
X 1140000 3.08653969571372 2.64648950877569
X 1150000 3.18379020381525 2.47321104755076
X 1160000 3.27999911884973 2.44163201139122
X 1170000 3.38397412619412 2.71819723544633
X 1180000 3.5142880657686 2.71268563027604
X 1190000 3.44671591199113 2.61201532699437
X 1200000 3.3877347319999 2.81613911488972
X 1210000 3.44072208398154 2.76848904665508
X 1220000 3.48524766028231 2.73388330091933
X 1230000 3.42804083913978 2.78463845410664
X 1240000 3.41217852684684 2.77568760580982
X 1250000 3.47632404207326 2.74242238174099
X 1260000 3.57642071873545 2.76108909722024
X 1270000 3.28316360494136 2.76036243925876
X 1280000 3.52928180773904 2.74175783945469
X 1290000 3.16580746681893 2.82745320211228
X 1300000 2.73243530917335 2.74214023572796
X 1310000 2.69433398950088 2.71038086014937
X 1320000 2.71418001858643 1.96334396139861
X 1330000 2.7630486246706 1.7598627539021
X 1340000 2.75499728929918 1.68818459315708
X 1350000 2.7687098283522 1.68164764346903
X 1360000 2.78501557646524 1.68246554509795
X 1370000 2.78062801376188 1.70453615531943
X 1380000 2.75769450153899 1.69629739170688
X 1390000 2.71477743873868 1.72663391620375
X 1400000 2.66654498933036 1.84825730807103
X 1410000 2.67473993212167 2.01002144681621
X 1420000 2.67139625383066 2.08816912429597
X 1430000 2.68147969100693 2.13486746760674
X 1440000 2.68556422166608 2.17421115316193
X 1450000 2.70680891168445 2.29025981752426
X 1460000 2.67243237455432 2.36634018658009
X 1470000 2.6260152789468 2.45705589706108
X 1480000 2.55559507971367 2.40336911350448
X 1490000 2.54440755208981 2.46409991868103
X 1500000 2.43257060988458 2.5083601030388
X 1510000 2.49075006473544 2.45733722234331
X 1520000 2.50640194649901 2.58690717968221
X 1530000 2.6543332307894 2.91956427797891
X 1540000 3.13147726732274 2.54531513117092
X 1550000 3.76500187859341 2.70692748853719
X 1560000 4.01990414570872 2.93332820765818
X 1570000 4.66151049990572 2.60130268170582
X 1580000 5.09300129741683 2.58514695900874
X 1590000 5.58342944803525 3.25347682305107
X 1600000 5.21399328272224 2.64076483582721
X 1610000 4.22625483874873 2.56415841222258
X 1620000 5.30038384725117 2.42354496251659
X 1630000 3.6394737918784 2.66912921776401
X 1640000 3.6790878438884 2.40792380110776
X 1650000 3.51543619775219 3.01837749367826
X 1660000 4.11652061074659 2.57418362351166
X 1670000 3.84039041711793 3.55857781267019
X 1680000 3.39233605566216 3.27238751495105
X 1690000 3.26647932332827 3.10123964308576
X 1700000 3.20013767681104 3.06752683464083
X 1710000 3.15469024533513 3.39447132093608
X 1720000 3.28368752765982 3.77938543818192
X 1730000 3.19302718219501 3.78965263825046
X 1740000 3.18443690038066 3.58511013984929
X 1750000 3.22062942582647 3.65988824861074
X 1760000 3.34935725659705 3.40365322996303
X 1770000 3.2489053747891 3.17357821950606
X 1780000 3.55402937652502 5.02856075417901
X 1790000 3.28751085837558 4.25121324339415
X 1800000 3.35073352278289 3.47819475718694
X 1810000 3.31686477588289 3.31956522078735
X 1820000 4.09102397980746 3.51939021610633
X 1830000 3.33201253933873 2.6632815794519
X 1840000 3.40152399591909 3.05829013913041
X 1850000 3.54237314236747 2.92857639310614
X 1860000 3.41082362772158 2.88264599766092
X 1870000 3.38064557964105 2.69100465583966
X 1880000 3.3666194988985 2.9696983145497
X 1890000 3.12718095219719 3.05229954579551
X 1900000 3.21808508266162 3.47607051891947
X 1910000 2.67427418545924 3.76300499705326
X 1920000 2.61172867056149 3.45768125790869
X 1930000 2.92230535351706 3.01586860406087
X 1940000 2.74316240035427 2.88445155392202
X 1950000 2.73326467926768 2.85188205199853
X 1960000 3.39449962653799 2.88833125211568
X 1970000 2.4622334575983 2.78203213717359
X 1980000 2.70849793957439 2.64318264850004
X 1990000 2.37573792152506 2.84955908778767
X 2e+06 2.47472191022234 3.29913611196724
X 2010000 2.49360108941192 3.12019098875527
X 2020000 2.50807349169486 3.28642664921512
X 2030000 3.05824394192814 3.3117979385641
X 2040000 2.5196007634226 3.38733177960569
X 2050000 2.60236121936612 3.20023463168326
X 2060000 2.90064502487576 3.54017690108856
X 2070000 2.85974835267177 2.60154486737855
X 2080000 3.25892416891111 2.55030162472366
X 2090000 3.18712011281809 2.38654294039787
X 2100000 3.0635507204471 2.47697403151329
X 2110000 3.31675566382899 2.59206724017236
X 2120000 3.25119851438603 2.83935688040378
X 2130000 3.46018596835779 3.54677107407957
X 2140000 2.95599061053736 3.49949252564448
X 2150000 2.92733959013401 3.53053510296047
X 2160000 2.87628893383788 3.51870051397458
X 2170000 3.70836771248821 4.30823668723656
X 2180000 3.40098468091617 2.22260178473715
X 2190000 3.60858553148068 2.0125384508255
X 2200000 3.48953859304191 2.55235610887866
X 2210000 3.40734666981399 1.99462020263269
X 2220000 3.2544575712152 1.92398732098013
X 2230000 3.21866336658826 1.87293175262795
X 2240000 3.26170556445908 2.2269573346702
X 2250000 3.3971755766064 2.20424676994617
X 2260000 3.67290053812576 2.04850801433599
X 2270000 3.3350998568672 2.59805568973854
X 2280000 3.54370515498306 2.45673731669217
X 2290000 3.79622556449215 2.35630106535314
X 2300000 3.81908946636361 2.24515004726538
X 2310000 3.63623716401628 2.1162012678364
X 2320000 3.68812863700714 2.65269498369906
X 2330000 3.14136215648307 2.51682475920001
X 2340000 3.07391238968205 2.51564759093549
X 2350000 2.64511024471119 2.40653036827513
X 2360000 2.31408465465205 2.19402163152114
X 2370000 2.4239622158106 2.20155468890255
X 2380000 2.88741551369884 2.72298147664725
X 2390000 3.79051362073329 3.64078608604626
X 2400000 2.14382287267347 2.82766598467526
X 2410000 2.12871721793914 2.84555695030701
X 2420000 2.13200423773202 2.85847680276993
X 2430000 2.14279912725527 2.87300800252501
X 2440000 2.14390539373937 2.90040958539578
X 2450000 2.1519058439992 2.92199509664465
X 2460000 2.16537070676424 2.94049625390693
X 2470000 2.18777539772657 2.95627031998549
X 2480000 2.21777749074124 2.97208964670978
X 2490000 2.26062696430296 3.00327556940476
X 2500000 2.35609931375291 3.03972064517279
X 2510000 2.53437209190037 3.08452656067698
X 2520000 2.75586655447546 3.14285176876558
X 2530000 2.82120576706944 3.19196368716268
X 2540000 2.82442130948084 3.2310503990027
X 2550000 2.82772616125919 3.22349707638864
X 2560000 2.75422057664957 3.20136269387331
X 2570000 2.55949857018885 3.14709494540313
X 2580000 2.40323439926539 3.03178385933705
X 2590000 2.3747418527571 2.90150639058015
